Are you self-employed?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Do you believe your productivity is ever affected by a mental health issue?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?
0,I don't know,No,Maybe,Maybe,No,Maybe,I don't know,No,,,Maybe,I'm hesitant to bring up anything that might make me seem less employable but has no actual effect on my productivity.,No,Same as above -- hesitant to bring up anything that doesn't affect my work but might make me seem less employable.,Maybe,Maybe,Neutral,No,,0,Never,Rarely,26,male,United States of America
0,Yes,Yes,Maybe,No,Maybe,Yes,I don't know,No,,,Maybe,"Don't currently have one, so not sure I'd have anything to bring up. Haven't had to think about it.",No,General sense of stigma.,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Maybe,1,Rarely,Sometimes,37,Male,United States of America
0,I don't know,No,No,No,Maybe,Maybe,No,Yes,,,Maybe,,No,No need to disclose so early as it may not be an issue. Don't want to give them a reason not to pick me!,Maybe,Maybe,Neutral,Maybe/Not sure,Yes,1,Rarely,Sometimes,27,Female,United Kingdom
1,,,,,,,,,"Sometimes, if it comes up",No,Maybe,It's none of her business if it doesn't impact my ability to work,No,Not the right sotuation to talk about a mental issue,Maybe,Maybe,Very open,Maybe/Not sure,No,1,Rarely,Rarely,32,Male,Switzerland
0,Yes,Yes,No,No,Yes,Yes,Yes,No,,,Yes,Because I value honesty very much and know that setting expectations in very beneficial for everybody,Maybe,,"No, I don't think it would",Maybe,Very open,No,,1,Never,Sometimes,32,Male,Netherlands
0,Yes,No,No,No,Yes,Yes,Yes,No,,,Maybe,Depends on the view of the employer about mental health.,Maybe,Depends on the amount of open view on it,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,1,Rarely,Sometimes,30,Male,Netherlands
0,No,Yes,No,No,Yes,Yes,Yes,No,,,Yes,If it affected my work or was something obvious I would talk about it.,No,Because I would be scared they would think that it affects my work and I'm not worth hiring.,"Yes, I think it would","No, I don't think they would",Somewhat open,No,,1,Sometimes,Sometimes,26,Female,Germany
1,,,,,,,,,"Sometimes, if it comes up",Yes,Maybe,It depends how well I connected with the interviewer,No,It's hard to talk about in that high pressure situation,"No, I don't think it would",Maybe,Somewhat open,No,,1,Sometimes,Often,27,Female,United Kingdom
1,,,,,,,,,"No, because it would impact me negatively",No,No,,No,,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,1,Never,Often,27,Male,Netherlands
0,Not eligible for coverage / N/A,No,No,No,Maybe,Yes,I don't know,No,,,Yes,It may affect my availability to perform my job,Maybe,"I wouldn't because for fear of not being hired because of it, but at the same time I feel like I should It may affect my availability to perform my job",Maybe,Maybe,Very open,No,,1,Not applicable to me,Sometimes,29,Male,Colombia
0,Yes,Yes,Maybe,Maybe,Yes,Maybe,I don't know,No,,,Maybe,,Maybe,,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",N/A,1,Sometimes,Often,26,nb masculine,Germany
0,Yes,No,No,No,Maybe,Maybe,No,No,,,No,Not relevant,No,Not relevant,"Yes, I think it would",Maybe,Somewhat not open,No,,0,Not applicable to me,Not applicable to me,23,Female,United States of America
0,Yes,Yes,No,No,Yes,Yes,Yes,No,,,Yes,I wouldn't want to work for an employer who couldn't handle the fact that I (or any coworkers) might have a health issue.,Yes,I wouldn't want to work for an employer who couldn't handle the fact that I (or any coworkers) might have a health issue.,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,1,Rarely,Sometimes,30,Male,United States of America
0,Yes,I don't know,Maybe,Maybe,No,No,No,No,,,No,No reason to risk the job,No,No reason to risk making them concerned about it,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,0,Not applicable to me,Sometimes,40,M,United States of America
0,I don't know,No,Maybe,Maybe,No,No,I don't know,No,,,No,You can be assured that it would not be a taken as a negative. ,No,"Same, although would have greater concern about employer viewing mental health as worse that a physical health issue as well as overall negative views of mental health issues. ","Yes, I think it would",Maybe,Not open at all,"Yes, I observed",Yes,1,Sometimes,Sometimes,46,male,United States of America
0,I don't know,No,No,No,Yes,Yes,I don't know,No,,,Maybe,Unknown ramifications. ,Maybe,Unknown ramifications. ,Maybe,"No, I don't think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,26,Male,United States of America
0,Yes,Yes,Maybe,No,No,No,I don't know,No,,,Yes,,No,,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,No,0,Not applicable to me,Not applicable to me,30,m,United States of America
0,No,No,Yes,Maybe,No,No,I don't know,No,,,No,,No,,"Yes, I think it would","Yes, I think they would",Very open,No,,0,Not applicable to me,Not applicable to me,27,f,Canada
1,,,,,,,,,"No, because it doesn't matter",Yes,Maybe,if relevant to job,Maybe,if relevant to job,"Yes, I think it would","Yes, I think they would",Somewhat open,No,,1,Rarely,Sometimes,35,male,United States of America
0,Yes,No,Maybe,No,Maybe,No,No,No,,,Maybe,"I want to be considered the same as every other applicant, and not be categorized by my limitations.",No,"I want to be considered the same as every other applicant, and not be categorized by my limitations.","Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,1,Rarely,Often,26,Cisgender Female,United States of America
0,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,,,Maybe,"If the potential employer explained their position on support for employees with physical health issues at the start of an interview, that would encourage me to speak of it.",Maybe,"Again, if the employer stated their position on mental health issues and support for potential employees then I would feel comfortable talking about it.",Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,0,Not applicable to me,Not applicable to me,35,Male,Australia
0,I don't know,No,No,No,Maybe,Maybe,Yes,Yes,,,Yes,,Maybe,"Afraid of niet being understood, that makes it hard to talk about it. Especially during an interview.",Maybe,"Yes, they do",Somewhat not open,Maybe/Not sure,Yes,1,Rarely,Sometimes,29,Male,Netherlands
0,I don't know,Yes,No,No,Yes,Yes,Yes,No,,,Maybe,I wouldn't know if I could trust them at that stage,No,I wouldn't know if I could trust them at that stage,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,1,Not applicable to me,Not applicable to me,34,Male,United Kingdom
1,,,,,,,,,Not applicable to me,No,No,"unless it would directly inhibit my ability to perform the presumed role or job description i find my physical medical health to be my responsibility and business altogether next to my diet, sexual preferences and similar information. ",No,I personally don't believe that generalized employers have the capacity to grapple with the possibility or potential for any mental health issues when they are worried about keeping their companies afloat.,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,0,Not applicable to me,Often,27,male,United States of America
0,No,No,Maybe,No,Maybe,No,I don't know,No,,,Maybe,Would not wish to prejudice the interview process,Maybe,Would not wish to prejudice the interview process,Maybe,Maybe,Somewhat not open,Maybe/Not sure,Yes,0,Not applicable to me,Sometimes,39,Male,United Kingdom
0,I don't know,I don't know,No,No,Yes,Yes,Yes,No,,,Maybe,,Maybe,,Maybe,"No, I don't think they would",Very open,"Yes, I observed",No,0,Not applicable to me,Not applicable to me,27,Male,United Kingdom
0,No,No,No,No,Maybe,Yes,I don't know,No,,,Yes,First I would like them to focus on my abilities and skills. Then when I would pass the initial interview rounds I would bring it up.,No,The same as previous one.,Maybe,"No, I don't think they would",Somewhat open,No,,1,Sometimes,Often,31,Male,Czech Republic
0,No,No,Maybe,No,No,Yes,No,Yes,,,Maybe,Would very much depend on the issue and what impact I thought it would have on the role I was interviewing for.,No,"I don't think enough people are aware of mental health issues, so it is more likely to just have a negative impact","Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",N/A,0,Not applicable to me,Not applicable to me,26,Male,United Kingdom
0,Yes,No,Maybe,Maybe,Yes,Maybe,I don't know,No,,,Maybe,"Is it relevant to the job, is it something I can work around.",Maybe,"Is it relevant to the job, and is it something I can work around.","Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I experienced",Yes,1,Sometimes,Sometimes,44,male,United States of America
0,Yes,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,,,No,,No,,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,N/A,0,Not applicable to me,Not applicable to me,27,male,United States of America
0,Yes,No,No,No,Maybe,Yes,I don't know,No,,,No,personal info should not be part of interview process,No,Interview is not the place/time for personal info,Maybe,Maybe,Very open,No,,1,Never,Sometimes,57,Female,United States of America
1,,,,,,,,,"Sometimes, if it comes up",Yes,Yes,BECAUSE,Maybe,BECAUSE,Maybe,"No, I don't think they would",Very open,"Yes, I observed",No,0,Not applicable to me,Not applicable to me,34,m,Canada
1,,,,,,,,,"No, because it doesn't matter",Yes,Maybe,,No,Since it doesn't affect my job performance it's none of their business.,Maybe,Maybe,Very open,No,,1,Rarely,Sometimes,38,Male,United States of America
1,,,,,,,,,Not applicable to me,Yes,Maybe,If I thought it irrelevant to the job.,Maybe,If it seemed relevant.,Maybe,"No, I don't think they would",Neutral,Maybe/Not sure,N/A,1,Not applicable to me,Often,55,Male,United States of America
1,,,,,,,,,Not applicable to me,Yes,No,It would probably impact my application negatively (even if they did not admit so),No,"Same reason, basically. And, it seems like it might be too early in a relationship to do so.  Why should they have a window into my personal life, just because they're my employers?","Yes, it has","Yes, they do",Neutral,"Yes, I experienced",Yes,1,Rarely,Often,28,male,Costa Rica
0,I don't know,No,Yes,No,No,Maybe,I don't know,No,,,No,,No,,Maybe,"Yes, I think they would",Very open,"Yes, I observed",Yes,1,Often,Sometimes,35,Male,United States of America
0,Yes,No,Maybe,Maybe,Maybe,No,Yes,No,,,No,Fear of discrimination as a racial minority with a physical health issue,No,Fear of discrimination as a racial minority with a mental health issue,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,1,Often,Often,26,Male,United States of America
0,I don't know,Yes,No,No,Maybe,Yes,Yes,No,,,Yes,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,22,female,United States of America
0,I don't know,No,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,No,Worries about discrimination,No,Worried about discrimination,"Yes, I think it would",Maybe,Neutral,No,,0,Not applicable to me,Not applicable to me,31,Male,United States of America
0,I don't know,No,Maybe,Maybe,No,No,I don't know,No,,,Maybe,,No,,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,,1,Not applicable to me,Not applicable to me,31,male,United Kingdom
1,,,,,,,,,Not applicable to me,Not applicable to me,No,"It is by law none of the employer's business and very unlikely to help in procuring a job (a job interview is a sale situation, not a full disclosure session - for both sides: I.e. a business is unlikely to volunteer negative information on its business operations in an interview, too).

The only exception would be if the health issues are going to materially affect my ability to perform the job being offered, in which case I wouldn't be in the interview in the first place, or it would only take place based on the understanding that this was the case. ",No,For the same reasons as for physical health issues...,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,0,Not applicable to me,Not applicable to me,40,Male,Germany
0,Yes,No,Maybe,No,Maybe,Yes,No,No,,,Maybe,"It would depend on the job I'm applying for.  Would it be something like ""I just need a special chair"" or would it be more along the lines of ""I need you to cater to my random days off.""  Either one _should_ be the same, however we all know that each response would not be treated as such.",No,"For the same reason as above, but I don't know at all whether the employer views mental health the same as physical health.",Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,N/A,1,Sometimes,Sometimes,26,m,United States of America
0,No,No,Yes,No,No,No,I don't know,No,,,No,Get the job first.,No,Keeping it secret is essential to getting & holding jobs at some companies.,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I experienced",N/A,1,Sometimes,Sometimes,36,M,United States of America
0,Yes,No,No,No,Yes,Yes,Yes,No,,,Yes,If it affected my availability.,No,Afraid of the stigma,Maybe,"No, they do not",Somewhat open,No,,1,Sometimes,Often,33,Male,United States of America
0,Yes,Yes,No,No,Yes,Yes,I don't know,No,,,Maybe,"I kind of feel uncomfortable saying I can't do things, although I guess I would have to in certain situations",No,I'm lucky that I'm mostly functional even when not doing well so I wouldn't disclose until I was at the company and had a better idea of how people react to it. ,"No, I don't think it would","No, they do not",Somewhat not open,No,,1,Sometimes,Often,24,F,United States of America
0,No,No,Maybe,Maybe,No,Maybe,No,No,,,No,,No,,"Yes, it has","Yes, they do",Somewhat not open,No,,0,Often,Rarely,22,male,Vietnam
0,Yes,No,No,No,Maybe,Yes,Yes,No,,,No,Why risk implicit or overt bias?,No,Why risk implicit or overt bias?,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,1,Rarely,Rarely,33,male,United States of America
0,Yes,No,Maybe,Maybe,Maybe,Maybe,No,No,,,Yes,There is established non-discrimination policy for disabilities or physical ability,No,Because I fear repercussions including not being hired,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,1,Rarely,Sometimes,37,f,United States of America
0,Yes,No,No,No,Yes,Yes,Yes,No,,,Maybe,"I don't know that it's good, but I typically take management of physical health issues as a personal matter, and wouldn't involve a potential employer.",Maybe,"Because of the nature of our work, mental health issues are far more impactful. If I thought it needed to be accounted for, I would involve the potential employer to ensure they can work with me.",Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,0,Rarely,Sometimes,29,Male,United States of America
0,Not eligible for coverage / N/A,Yes,No,No,Yes,Yes,Yes,No,,,Maybe,"It depends on whether or not he physical health issue would prevent me from doing my job. If not, I would not bring it up.",No,I know there's widespread stigma toward mental health. I would avoid discussion this in an interview (unless I didn't want the job),Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,,1,Not applicable to me,Not applicable to me,38,Male,United States of America
0,No,No,Maybe,Maybe,No,No,I don't know,No,,,No,if it affected the ability for someone to preform their job.,No,taboo ,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,N/A,0,Sometimes,Not applicable to me,33,m,United States of America
0,I don't know,No,Yes,Yes,No,No,No,No,,,No,See it as potentially influencing my hirability. ,No,Stigma could influence their desire to hire me. ,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,1,Never,Often,44,Female,Canada
0,Yes,No,No,No,Maybe,Yes,I don't know,No,,,Maybe,I don't currently have any I'm concerned about.,No,"That's sensitive, and I'd need to know them better first.",Maybe,"No, I don't think they would",Very open,No,,1,Never,Sometimes,23,Male,United States of America
1,,,,,,,,,Not applicable to me,Unsure,Maybe,,No,,Maybe,Maybe,Somewhat open,No,,0,Not applicable to me,Not applicable to me,30,M,United States of America
0,I don't know,No,Yes,No,No,No,No,No,,,Maybe,It depends on the physical health issue. E.g. Bad Knees vs Bad Allergies,No,Would be afraid that it would negatively affect my potential as a hiring candidate.,"Yes, I think it would","Yes, I think they would",Very open,"Yes, I observed",Yes,1,Rarely,Sometimes,30,Man,United States of America
0,Yes,No,No,No,Yes,Yes,I don't know,No,,,Maybe,,No,,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,0,Not applicable to me,Not applicable to me,28,male,United States of America
0,Yes,No,No,No,Maybe,Maybe,No,No,,,Maybe,Depends on the feel of the interview,No,"I feel that it would only hurt my chances at employment, or have no bearing at all.",Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,Maybe,0,Not applicable to me,Often,39,male,United States of America
0,No,No,Yes,No,No,No,I don't know,No,,,Yes,,No,,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,1,Never,Sometimes,24,Female,United States of America
1,,,,,,,,,"Sometimes, if it comes up",Yes,Maybe,"Regardless of what disability legislation says, health issues are a surefire way to get turned down for work.",No,Most people tend to assume that being mentally ill means you're going to be crap writing code.,Maybe,Maybe,Very open,"Yes, I experienced",Yes,1,Sometimes,Often,27,Male,Netherlands
0,Yes,Yes,No,No,Maybe,Yes,Yes,No,,,Yes,,No,"I'd rather ask about health benefits and look at it from there.  No need to bring it up in an interview unless it directly affects the job, or is specifically brought up by the interviewer",Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,No,1,Sometimes,Often,35,Male,United States of America
0,No,No,No,No,Yes,Yes,I don't know,No,,,Maybe,I believe I would  just for the sake of transparency,Maybe,It would depend on my general feelings of the employer/my issue,Maybe,Maybe,Neutral,No,,0,Not applicable to me,Not applicable to me,23,Male,United States of America
0,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,,,Maybe,,Maybe,,Maybe,Maybe,Somewhat not open,No,,0,Not applicable to me,Not applicable to me,37,M,United States of America
0,Yes,No,No,No,Maybe,Yes,I don't know,No,,,Maybe,"It depends on if it was relevant or affected my job in any way. Also, if I felt like I could trust the person in my interview.",Maybe,See above answer - related to trust.,Maybe,Maybe,Neutral,N/A,,0,Not applicable to me,Not applicable to me,35,Male,United States of America
0,Yes,No,No,No,Maybe,Maybe,Yes,No,,,Yes,,Maybe,This would depend on the severity of an effect the issue could have on work performance.,Maybe,"No, I don't think they would",Neutral,Maybe/Not sure,No,0,Sometimes,Sometimes,27,Male,United States of America
0,I don't know,No,No,No,Maybe,Maybe,Yes,No,,,Maybe,If it affected my ability to perform at the job I would bring it up.,Maybe,I would bring it up if it affected day to day work. Otherwise probably would not because the stigma around it.,Maybe,Maybe,Somewhat not open,No,,0,Rarely,Sometimes,27,Female,United States of America
0,Yes,No,Maybe,No,No,No,I don't know,No,,,No,Seems irrelevant.,No,Also irrelevant to getting  a job.,Maybe,"Yes, I think they would",Neutral,No,,0,Not applicable to me,Not applicable to me,27,Female,United States of America
0,I don't know,No,Maybe,Maybe,No,No,I don't know,No,,,No,,No,,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,1,Sometimes,Sometimes,42,m,United States of America
0,Yes,No,Maybe,Maybe,No,Maybe,No,No,,,No,"I don't see the need. If I'm at the interview, it's because I am fine working there as I am.",No,"I don't see the need. If I'm at the interview, it's because I am fine working there as I am.",Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,0,Not applicable to me,Not applicable to me,32,Sex is male,United States of America
0,I don't know,No,No,No,Maybe,Maybe,I don't know,No,,,Maybe,,Maybe,,Maybe,Maybe,Somewhat not open,No,,1,Sometimes,Often,26,Male,Finland
0,I don't know,No,Yes,No,No,No,I don't know,No,,,Maybe,"A sleep-related disorder prevents me from being able to arrive at early hours, which a large part of employers require.",No,"I wouldn't feel comfortable discussing mental health issues with anybody but really close friends and/or other sufferers in the first place. But also, it's not like it wouldn't hurt my chances of landing a position.","Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,,0,Not applicable to me,Not applicable to me,28,Male,Bulgaria
0,I don't know,No,Yes,No,No,No,I don't know,No,,,Yes,,No,"I'm uncertain how the ADA applies to mental health, or whether it even applies at all","Yes, I think it would","Yes, I think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,28,M,United States of America
0,Yes,No,Maybe,No,No,No,I don't know,No,,,Maybe,,No,,"Yes, I think it would",Maybe,Somewhat open,No,,1,Rarely,Sometimes,32,Male,United States of America
1,,,,,,,,,"Sometimes, if it comes up",Yes,Yes,a,No,a,Maybe,Maybe,Very open,No,,0,Not applicable to me,Sometimes,43,male,United States of America
0,Yes,Yes,Maybe,No,Maybe,Maybe,No,No,,,Yes,It seems like it would be hard to hide a physical issue.,Maybe,I would if I felt it would be a serious impediment to both parties as it pertains to my ability to do the job. Otherwise it could feel a bit like trapping the employer.,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,1,Rarely,Sometimes,34,Male,United States of America
0,I don't know,No,Maybe,Maybe,No,Maybe,I don't know,No,,,Maybe,It would depend on whether I thought it might impact the job.,Maybe,Depend on the job,Maybe,Maybe,Somewhat not open,No,,1,Rarely,Sometimes,61,f,United States of America
1,,,,,,,,,"Sometimes, if it comes up",No,Maybe,Fear of being passed over for a healthier candidate.,No,Fear that it would disqualify me in their mind.,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Maybe,0,Sometimes,Sometimes,50,Male,United States of America
1,,,,,,,,,"No, because it doesn't matter",Yes,No,"I'm ashamed / shy to admit something like this to a stranger. Unless I have a bond of a certain amount of intimacy with a person, I would never talk about myself in personal terms.",No,Same as above.,Maybe,Maybe,Not open at all,"Yes, I observed",N/A,1,Often,Often,38,Male,India
0,Not eligible for coverage / N/A,I don't know,Yes,Maybe,Maybe,Maybe,No,Yes,,,Yes,because it is important to do the job,Yes,because it hurts me,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",Maybe,1,Sometimes,Often,51,m,Germany
1,,,,,,,,,"Sometimes, if it comes up",Yes,Yes,The employers reaction would tell a lot of the type of company I'd be joining. ,Yes,Reaction would tell a lot of the type of employer they are. ,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,No,1,Never,Rarely,38,male,Ireland
0,I don't know,I don't know,No,No,Yes,Yes,Yes,No,,,Yes,"If it was relevant to the job, then yes.",Maybe,"If was relevant to the job, then yes. But I do think that discussing mental health in a job interview is more risky (because of the negative perception it could create) than discussing physical health issues.",Maybe,Maybe,Very open,No,,1,Sometimes,Often,34,male,United States of America
0,No,No,Maybe,Maybe,Yes,Maybe,No,No,,,Maybe,I would bring it up only if it were already obvious and/or would not be likely to affect my performance.,Maybe,"I feel that a mental health issue would not be something I'd want them to take into account as part of the hiring process, unless it were a serious enough issue that I wouldn't want to work for an employer who was not willing to make accommodations for my issue.","Yes, I think it would","No, I don't think they would",Somewhat open,No,,1,Sometimes,Sometimes,43,Male,United States of America
0,Yes,No,Yes,No,No,Maybe,I don't know,No,,,Maybe,"I would rather not bring something up unless I was sure it would impact my job, because I am always concerned that people will find it easier to turn me down as a candidate.",No,They are still stigmatized and without obvious mentions of acceptance by the employer beforehand I would worry that there would be hidden (or not so hidden) prejudice.  Again I would worry about being written off for the job.,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Maybe,0,Not applicable to me,Rarely,43,Female,United States of America
0,No,Yes,Maybe,No,No,Maybe,I don't know,No,,,No,Not sure. Want to put my best foot forward.,No,Depression is my entire life. Work shouldn't be my life.,"Yes, it has",Maybe,Very open,"Yes, I observed",Maybe,1,Often,Often,44,Male,United States of America
0,I don't know,No,Maybe,No,Maybe,Maybe,I don't know,No,,,No,It has no legal bearing on the hiring process,No,It has no legal bearing on the hiring process,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,No,1,Rarely,Sometimes,35,m,United States of America
0,Yes,No,No,No,Maybe,Yes,Yes,No,,,Yes,Not sure if they're allowed to ask. If it came up I practice openness and honestly by principle.,Maybe,"Not having a mental illness, I assume there is a stigma around the issue for people who haven't experienced it.",Maybe,"No, I don't think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,50,Male,United States of America
0,Yes,No,Maybe,No,Maybe,Yes,I don't know,No,,,Yes,,Maybe,,Maybe,Maybe,Neutral,No,,1,Rarely,Often,29,Male,United States of America
0,Yes,Yes,No,No,Yes,Yes,Yes,No,,,Maybe,"If the physical health issue required some special equipment, like a standing desk or the like, I would bring it up. Otherwise, I wouldn't deem it necessary for them to know.",Maybe,"I would discuss a mental health issue only at an interview that is trending towards an offer, mostly to review what mental health covered their insurance provides.","No, it has not","No, they do not",Very open,No,,1,Rarely,Often,29,Male,United States of America
0,Yes,No,Maybe,Maybe,Yes,Yes,Yes,No,,,Maybe,I'd be worried that it would reflect negatively against me and possibly hinder me as a potential candidate,Maybe,I would be worried that it would hinder my chances as a potential candidate,"Yes, I think it would",Maybe,Very open,No,,0,Not applicable to me,Not applicable to me,36,Male,Canada
1,,,,,,,,,Not applicable to me,Yes,No,"It's a market, it would devalue the offering stupid",Maybe,It's a market,"No, I don't think it would",Maybe,Neutral,"Yes, I observed",Yes,0,Rarely,Sometimes,33,Male,Australia
1,,,,,,,,,"Sometimes, if it comes up",Yes,No,Would sour interview experience,No,"Work mostly in small teams: no-one would consider you and small teams could excuse it away as ""not a good personality fit""","Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,1,Sometimes,Often,50,Male,Australia
0,I don't know,No,Maybe,Maybe,No,No,No,No,,,No,"If it isn't directly job affecting, I don't think it should matter.",No,"Mental health issues don't seem to be treated like ""real"" issues",Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,1,Sometimes,Sometimes,46,Male,United States of America
1,,,,,,,,,"No, because it would impact me negatively",No,Maybe,Only if it was an obvious thing. If an employer cant tell i wont risk it,No,I wont get the job,"Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",Yes,1,Never,Often,44,Female,New Zealand
0,Yes,No,Yes,Maybe,Maybe,No,No,Yes,,,Maybe,"If I had mobility problems that required an accessible office or special accomodations, I'd want to make sure those were available",No,"Might allude to it under the guise of ""work-life balance"" or something, but the only valid reason to hire me is the quality of my brain so it would be extremely detrimental to call it into question","Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",Yes,1,Not applicable to me,Often,23,none of your business,United States of America
0,I don't know,No,Maybe,No,Maybe,Yes,No,No,,,Maybe,,No,,Maybe,Maybe,Neutral,Maybe/Not sure,N/A,1,Sometimes,Often,41,Male,United States of America
0,Yes,Yes,No,Maybe,Maybe,Yes,I don't know,No,,,No,,No,,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,Maybe,0,Never,Never,31,male,Canada
0,No,No,Yes,No,No,No,No,Yes,,,Maybe,"May not obtain job. NOTE: Was terminated for mental health snap - schizoaffective disorder type one, depressive. All I did was cry for 5 minutes...then lapsed in to confusion. Terminated next week.",No,I have been hospitalized twice at Hines Madden Hospital. This issue is a bridge too far to cross.  Been out of full-time work since let go Jan 2010. Trying to get back in in next two years. Working part-time installing systems. Was a sys admin.,"Yes, I think it would","Yes, I think they would",Very open,"Yes, I observed",Yes,1,Often,Often,55,male,United States of America
0,No,No,Yes,Maybe,Maybe,No,No,No,,,No,,No,,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Maybe,0,Never,Often,34,M,United States of America
0,Yes,No,No,No,Yes,Yes,Yes,No,,,Yes,"If I had physical health issues, I would want to make sure there are provisions for my health needs or concerns before accepting a position with a new company.",Maybe,"I may not bring up a mental health issue in an interview with a potential employer, because I would be afraid that it might influence their decision about whether or not to hire me. They might view me as unstable or unqualified to properly do my job.","Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",No,1,Often,Often,28,Female,United States of America
0,Yes,No,No,No,Maybe,Maybe,I don't know,No,,,Maybe,bias,No,I actually don't think it's any of their business.,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,1,Rarely,Often,33,m,United States of America
0,Yes,No,Yes,Yes,Maybe,No,No,Yes,,,No,"I believe that would bias the interview against me for ""culture"" reasons. ",No,Same as physical. ,"Yes, I think it would",Maybe,Very open,"Yes, I experienced",Maybe,1,Sometimes,Sometimes,29,Male,United States of America
